"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 13 17:09:38 CST 2020","Mon Jul 13 17:09:38 CST 2020","198","testcases.service_testing.PQ","test_name_list","TestNameList","","","名单设置面试状态","名单设置面试状态"
"broken","Mon Jul 13 17:09:13 CST 2020","Mon Jul 13 17:09:13 CST 2020","127","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","身份证号码查询","
                身份证号码查询

        "
"broken","Mon Jul 13 17:29:20 CST 2020","Mon Jul 13 17:29:20 CST 2020","135","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","默认查询项查询","
                默认查询项查询

        "
"passed","Mon Jul 13 17:25:33 CST 2020","Mon Jul 13 17:25:39 CST 2020","6246","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用供应商查询","使用供应商查询"
"passed","Mon Jul 13 17:08:29 CST 2020","Mon Jul 13 17:08:31 CST 2020","1679","testcases.service_testing.MiniPro","test_uploadThreecard","TestThreecard","","","选择身份证图片，上传身份证","
                选择身份证图片，上传身份证

        "
"passed","Mon Jul 13 17:29:01 CST 2020","Mon Jul 13 17:29:04 CST 2020","3421","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用在职状态查询","使用在职状态查询"
"broken","Mon Jul 13 17:09:14 CST 2020","Mon Jul 13 17:09:14 CST 2020","173","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","银行名称查询","
                银行名称查询

        "
"passed","Mon Jul 13 17:11:02 CST 2020","Mon Jul 13 17:11:03 CST 2020","508","testcases.service_testing.PQ","test_name_list","TestNameList","","","批量设置面试状态","批量设置面试状态"
"passed","Mon Jul 13 17:10:03 CST 2020","Mon Jul 13 17:10:04 CST 2020","414","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用姓名查询","使用姓名查询"
"passed","Mon Jul 13 17:11:03 CST 2020","Mon Jul 13 17:11:04 CST 2020","508","testcases.service_testing.PQ","test_name_list","TestNameList","","","批量设置面试状态","批量设置面试状态"
"broken","Mon Jul 13 17:09:14 CST 2020","Mon Jul 13 17:09:14 CST 2020","144","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","手机号码查询","
                手机号码查询

        "
"passed","Mon Jul 13 17:10:16 CST 2020","Mon Jul 13 17:10:17 CST 2020","222","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用性别查询","使用性别查询"
"passed","Mon Jul 13 17:10:24 CST 2020","Mon Jul 13 17:10:24 CST 2020","160","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用企业类型查询","使用企业类型查询"
"broken","Mon Jul 13 17:08:25 CST 2020","Mon Jul 13 17:08:25 CST 2020","0","testcases.exception_testing","test_api_exception_case","Test","","","test_01[data0]",""
"passed","Mon Jul 13 17:09:42 CST 2020","Mon Jul 13 17:09:42 CST 2020","367","testcases.service_testing.PQ","test_name_list","TestNameList","","","查看列表不脱敏信息","查看列表不脱敏信息"
"broken","Mon Jul 13 17:09:23 CST 2020","Mon Jul 13 17:09:24 CST 2020","129","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","统计信息数据检查","
                统计信息数据检查

        "
"broken","Mon Jul 13 17:09:26 CST 2020","Mon Jul 13 17:09:26 CST 2020","320","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","刷新待审核状态的身份证","
                刷新待审核状态的身份证

        "
"passed","Mon Jul 13 17:24:25 CST 2020","Mon Jul 13 17:24:56 CST 2020","30754","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","在职状态-未处理","在职状态-未处理"
"passed","Mon Jul 13 17:18:12 CST 2020","Mon Jul 13 17:19:14 CST 2020","61688","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","预支名单更换来源重新绑单","预支名单更换来源重新绑单"
"broken","Mon Jul 13 17:08:27 CST 2020","Mon Jul 13 17:08:27 CST 2020","0","testcases.exception_testing","test_api_exception_case","Test","","","test_01[data1]",""
"broken","Mon Jul 13 17:09:27 CST 2020","Mon Jul 13 17:09:27 CST 2020","329","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","填写已存在的身份证号码审核通过","
                填写ec下已审核通过的身份证号码和姓名，审核通过身份证

        "
"broken","Mon Jul 13 17:29:18 CST 2020","Mon Jul 13 17:29:19 CST 2020","359","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","身份证审核通过状态，审核不通过状态的工牌信息检查","
                身份证审核通过状态，审核不通过状态的工牌信息检查

        "
"passed","Mon Jul 13 17:08:27 CST 2020","Mon Jul 13 17:08:28 CST 2020","1238","testcases.service_testing.MiniPro","test_login","TestLoin","","","输入正确的验证码和手机号码,tenant_type为2登录","
                        输入正确的验证码和手机号码,tenant_type为2登录

        "
"passed","Mon Jul 13 17:25:32 CST 2020","Mon Jul 13 17:25:32 CST 2020","260","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用入职日期查询","使用入职日期查询"
